identifier,label,set
Q9C9Y6,Cell.membrane,
Q9NYG8,Cell.membrane,
Q7XBS0,Cell.membrane,
Q12333,Cell.membrane,
Q8LFH5,Cell.membrane,
G5EGL9,Cell.membrane,
Q9BXP2,Cell.membrane,
O70491,Cell.membrane,test
Q56WM6,Cell.membrane,
Q7TS55,Cell.membrane,
O14514,Cell.membrane,test
F1NZP5,Cell.membrane,test
Q7Z020,Cell.membrane,
Q9Z0M6,Cell.membrane,
Q32M45,Cell.membrane,
O01811,Cell.membrane,
O00206,Cell.membrane,
Q6UX01,Cell.membrane,
Q24247,Cell.membrane,
P32329,Cell.membrane,
Q9WTY2,Cell.membrane,
Q9JJV9,Cell.membrane,
Q2M3C6,Cell.membrane,
Q91X52,Cell.membrane,
Q9TTY5,Cell.membrane,
Q5RKR3,Cell.membrane,
Q9SZW4,Cell.membrane,
P32307,Cell.membrane,test
Q9FLV9,Cell.membrane,test
O60896,Cell.membrane,test
C0LGW6,Cell.membrane,
Q9HBX8,Cell.membrane,
Q9HBX9,Cell.membrane,
O08892,Cell.membrane,
Q681K7,Cell.membrane,test
Q3MIR4,Cell.membrane,test
P27448,Cell.membrane,
Q9SSD1,Cell.membrane,test
Q8WN93,Cell.membrane,test
Q96QD8,Cell.membrane,
Q8VHW2,Cell.membrane,
Q9SH14,Cell.membrane,
Q12891,Cell.membrane,
Q96EP9,Cell.membrane,
Q9SW27,Cell.membrane,
P15390,Cell.membrane,
Q8VHW8,Cell.membrane,
Q96247,Cell.membrane,
Q9QUR8,Cell.membrane,
Q9DCP2,Cell.membrane,
Q16853,Cell.membrane,test
Q9UQ49,Cell.membrane,test
Q9HAB3,Cell.membrane,
Q13336,Cell.membrane,
Q920S2,Cell.membrane,test
P51905,Cell.membrane,
P54760,Cell.membrane,
P24348,Cell.membrane,
Q84T94,Cell.membrane,
O15245,Cell.membrane,test
Q12207,Cell.membrane,
P32037,Cell.membrane,
O88788,Cell.membrane,
P46940,Cell.membrane,
Q8W4J9,Cell.membrane,
O54698,Cell.membrane,
Q12809,Cell.membrane,
Q6Z2T3,Cell.membrane,
Q13237,Cell.membrane,
Q9ZQI2,Cell.membrane,
Q9M3D8,Cell.membrane,test
Q3U9N9,Cell.membrane,
P13637,Cell.membrane,
Q9ZR72,Cell.membrane,
O35173,Cell.membrane,
O61491,Cell.membrane,
Q8IWT6,Cell.membrane,
Q8K4Z6,Cell.membrane,test
P41144,Cell.membrane,
P11584,Cell.membrane,
P08219,Cell.membrane,
P04264,Cell.membrane,
P41143,Cell.membrane,
O88407,Cell.membrane,
Q9LV40,Cell.membrane,
Q4FZU9,Cell.membrane,
Q96CW9,Cell.membrane,
P78410,Cell.membrane,
P0DMS1,Cell.membrane,
Q9SCZ4,Cell.membrane,
O15552,Cell.membrane,
Q53R12,Cell.membrane,test
Q9JKA9,Cell.membrane,test
P40169,Cell.membrane,
Q9M9T4,Cell.membrane,
O15554,Cell.membrane,
Q3TWN3,Cell.membrane,
Q28362,Cell.membrane,
A6NFA1,Cell.membrane,
Q9JKA7,Cell.membrane,
P21917,Cell.membrane,
Q96E93,Cell.membrane,
Q38873,Cell.membrane,
Q38872,Cell.membrane,
O60503,Cell.membrane,
Q09428,Cell.membrane,test
Q96S37,Cell.membrane,test
P15116,Cell.membrane,
P51830,Cell.membrane,
P20789,Cell.membrane,
P53987,Cell.membrane,
P53986,Cell.membrane,
O88917,Cell.membrane,
Q06451,Cell.membrane,
O88713,Cell.membrane,
C0LGL9,Cell.membrane,
Q495A1,Cell.membrane,
Q91ZE5,Cell.membrane,
Q8K3P1,Cell.membrane,
Q9FKP4,Cell.membrane,
P15693,Cell.membrane,test
C0LGD7,Cell.membrane,
O44616,Cell.membrane,
Q23022,Cell.membrane,
P08069,Cell.membrane,
Q8SWR3,Cell.membrane,
P23385,Cell.membrane,test
Q6AWJ9,Cell.membrane,
Q3EB59,Cell.membrane,
P42866,Cell.membrane,
P08220,Cell.membrane,
Q7M730,Cell.membrane,
Q8VZG8,Cell.membrane,
B1B212,Cell.membrane,
Q6UVM4,Cell.membrane,test
O81775,Cell.membrane,
Q99N50-11,Cell.membrane,
Q9Y6J6,Cell.membrane,
Q9NZD1,Cell.membrane,
Q80WK2,Cell.membrane,
P10040,Cell.membrane,
P22460,Cell.membrane,
Q80ZA5,Cell.membrane,test
Q7Z443,Cell.membrane,test
Q80T22,Cell.membrane,
P97438-2,Cell.membrane,
Q9V5N8,Cell.membrane,
P30974,Cell.membrane,test
Q9R1N9,Cell.membrane,
P16234,Cell.membrane,
P37023,Cell.membrane,
O04714,Cell.membrane,
P25961,Cell.membrane,test
Q75HB1,Cell.membrane,
Q9JM80,Cell.membrane,test
P93050,Cell.membrane,test
P28222,Cell.membrane,
F4K4R6,Cell.membrane,
Q0V8E7,Cell.membrane,test
P30606,Cell.membrane,
Q8TBE7,Cell.membrane,test
Q9WUB6,Cell.membrane,test
D2XNR1,Cell.membrane,
P23975,Cell.membrane,
Q68D85,Cell.membrane,
Q86UN2,Cell.membrane,
Q86UN3,Cell.membrane,test
Q6VV64,Cell.membrane,
Q2M3G0,Cell.membrane,
Q8LCS8,Cell.membrane,
Q13733,Cell.membrane,
Q9FM85,Cell.membrane,test
Q9LZH5,Cell.membrane,
Q08905,Cell.membrane,
Q06611,Cell.membrane,
Q9SSL9,Cell.membrane,
P40239,Cell.membrane,test
Q0VGW6,Cell.membrane,
Q9XF58,Cell.membrane,
Q59YT1,Cell.membrane,test
Q9M815,Cell.membrane,test
C0LGH2,Cell.membrane,
Q9BYW1,Cell.membrane,
P41809,Cell.membrane,
Q8IWT1,Cell.membrane,
Q8TDN1,Cell.membrane,
P04001,Cell.membrane,
Q9HBL7,Cell.membrane,
Q8SUF9,Cell.membrane,test
Q9UGH3,Cell.membrane,
P52569,Cell.membrane,
Q8K299,Cell.membrane,
P15384,Cell.membrane,
P54867,Cell.membrane,
Q9PVZ4,Cell.membrane,
P53139,Cell.membrane,test
P0CC10,Cell.membrane,
P53955,Cell.membrane,
P30518,Cell.membrane,test
Q9JI58,Cell.membrane,
Q6ZTQ4,Cell.membrane,
P25105,Cell.membrane,
A1A5B4,Cell.membrane,
Q03482,Cell.membrane,test
Q9Y6R1,Cell.membrane,test
P41145,Cell.membrane,
Q8IU80,Cell.membrane,
Q9LV48,Cell.membrane,
O00270,Cell.membrane,
Q9D103,Cell.membrane,
Q86V24,Cell.membrane,
Q8IZP1,Cell.membrane,
Q99250,Cell.membrane,
Q9WUP1,Cell.membrane,test
Q9NYB5,Cell.membrane,
Q9H255,Cell.membrane,test
Q8IZP9,Cell.membrane,
A8IJF8,Cell.membrane,
Q9VJ83,Cell.membrane,
Q9ZSA2,Cell.membrane,
P69744,Cell.membrane,
Q12691,Cell.membrane,
Q8GXN2,Cell.membrane,
Q9JHL0,Cell.membrane,
Q9SKB2,Cell.membrane,
P92949,Cell.membrane,
Q5A6P6,Cell.membrane,test
O88667,Cell.membrane,
Q9GZC8,Cell.membrane,
P30939,Cell.membrane,
P08913,Cell.membrane,
Q8R4F1,Cell.membrane,
Q8VZQ5,Cell.membrane,
Q9M670,Cell.membrane,test
C0HJJ0,Cell.membrane,
P41930,Cell.membrane,
P30936,Cell.membrane,test
O08722,Cell.membrane,test
O88728,Cell.membrane,test
Q9JIL4,Cell.membrane,
P82251,Cell.membrane,
P29972,Cell.membrane,
P82252,Cell.membrane,
P41180,Cell.membrane,test
Q0WPE9,Cell.membrane,
P97484,Cell.membrane,test
O88689,Cell.membrane,
P52803,Cell.membrane,
P31390,Cell.membrane,
Q5RLM2,Cell.membrane,test
Q93VD3,Cell.membrane,
Q9Z1A5,Cell.membrane,
Q9LTB8,Cell.membrane,
Q9Y2T6,Cell.membrane,
Q8L7S6,Cell.membrane,
Q84JQ4,Cell.membrane,
O49545,Cell.membrane,
Q8IWB1,Cell.membrane,
Q7Z410,Cell.membrane,test
S4X0Q8,Cell.membrane,
Q6Q629,Cell.membrane,
A6BM72,Cell.membrane,
Q9EQF4,Cell.membrane,
O00478,Cell.membrane,
Q90674,Cell.membrane,
Q9S7I6,Cell.membrane,
Q9SN38,Cell.membrane,
Q9UL62,Cell.membrane,test
Q8K1S2,Cell.membrane,test
Q9UM01,Cell.membrane,
P22723,Cell.membrane,
P49682-2,Cell.membrane,
O35158,Cell.membrane,
Q9FMX3,Cell.membrane,
Q9FMF5,Cell.membrane,
Q8T5S1,Cell.membrane,
Q9DF69,Cell.membrane,
Q801D8,Cell.membrane,
P32300,Cell.membrane,
Q61006,Cell.membrane,
Q9ZNQ8,Cell.membrane,
C0LGH3,Cell.membrane,
O23492,Cell.membrane,
Q93ZS4,Cell.membrane,
Q61003,Cell.membrane,
Q9NQA5,Cell.membrane,
G5EBR8,Cell.membrane,
C0LGF4,Cell.membrane,
Q6ZG85,Cell.membrane,
P46408,Cell.membrane,
Q9LV10,Cell.membrane,
P40879,Cell.membrane,
B2RXS4,Cell.membrane,test
Q17328,Cell.membrane,
P28221,Cell.membrane,
Q9UGM1,Cell.membrane,
Q80YF9,Cell.membrane,
Q9LY03,Cell.membrane,
P25931,Cell.membrane,test
O13134,Cell.membrane,test
Q8J025,Cell.membrane,test
Q7TMA4,Cell.membrane,test
O17386,Cell.membrane,
P15383,Cell.membrane,test
P15382,Cell.membrane,test
P15381,Cell.membrane,test
P38925,Cell.membrane,
Q9M8S2,Cell.membrane,test
P38928,Cell.membrane,
Q96L08,Cell.membrane,
P36898,Cell.membrane,
Q9UIA0,Cell.membrane,
Q9ZPR4,Cell.membrane,
Q9FG00,Cell.membrane,test
Q6UVW9,Cell.membrane,
P40485,Cell.membrane,
Q9SUP0,Cell.membrane,
P10823,Cell.membrane,
O70507,Cell.membrane,
Q925H0,Cell.membrane,
Q96A54,Cell.membrane,
Q9NY37,Cell.membrane,
Q8IWE4,Cell.membrane,
Q8H8V7,Cell.membrane,
Q9SX98,Cell.membrane,
Q6ZSM3,Cell.membrane,
P35735,Cell.membrane,
O97859,Cell.membrane,test
P63212,Cell.membrane,
Q9W266,Cell.membrane,test
P14416,Cell.membrane,
Q9H7M9,Cell.membrane,
Q944G5,Cell.membrane,
O49660,Cell.membrane,
Q9EPZ7,Cell.membrane,
Q13564,Cell.membrane,
Q864R9,Cell.membrane,
Q62875,Cell.membrane,
Q9FE29,Cell.membrane,
O04532,Cell.membrane,
O88343,Cell.membrane,test
Q99678,Cell.membrane,test
Q9BXB1,Cell.membrane,
Q7YRU6,Cell.membrane,test
Q9C888,Cell.membrane,
Q9JLB9,Cell.membrane,
Q6L8G0,Cell.membrane,
Q6QLQ4,Cell.membrane,
Q9Y7Y7,Cell.membrane,test
P43657,Cell.membrane,
P34886,Cell.membrane,
Q9SIA5,Cell.membrane,
Q9VVX3,Cell.membrane,
P35499,Cell.membrane,
P35498,Cell.membrane,
Q9Y6Q6-6,Cell.membrane,
Q8VZ80,Cell.membrane,
Q5M8M9,Cell.membrane,
Q05062,Cell.membrane,
Q948U0,Cell.membrane,test
O14649,Cell.membrane,
O75762,Cell.membrane,
Q8NFP4,Cell.membrane,
Q9XEC6,Cell.membrane,
O35464,Cell.membrane,
Q9SAH8,Cell.membrane,
F1LW30,Cell.membrane,test
P18064,Cell.membrane,
Q7XJR9,Cell.membrane,
Q5AMJ5,Cell.membrane,
Q8TCB6,Cell.membrane,test
P15379,Cell.membrane,
Q9FJG1,Cell.membrane,
Q9H1D0,Cell.membrane,
P26433,Cell.membrane,
Q5TAT6,Cell.membrane,
Q07307,Cell.membrane,
Q91WD2,Cell.membrane,
Q9ZRF9,Cell.membrane,
Q6YXX9,Cell.membrane,
Q91XT9,Cell.membrane,
G5EBL2,Cell.membrane,
Q5XF51,Cell.membrane,
Q8N9M5,Cell.membrane,
Q2HXU8,Cell.membrane,
Q96P31,Cell.membrane,
P42893,Cell.membrane,
P54003,Cell.membrane,
A9ZSY2,Cell.membrane,
Q8N695,Cell.membrane,test
Q9NSA0,Cell.membrane,test
Q8NBS3,Cell.membrane,
Q96RD9,Cell.membrane,
P06731,Cell.membrane,
P53985,Cell.membrane,
P40475,Cell.membrane,test
P40474,Cell.membrane,test
P34250,Cell.membrane,test
P46014,Cell.membrane,test
Q08ET2,Cell.membrane,
Q5ABU7,Cell.membrane,
Q9UBD6,Cell.membrane,
P50133,Cell.membrane,test
P15431,Cell.membrane,
P16410,Cell.membrane,test
Q12361,Cell.membrane,test
J9VXM5,Cell.membrane,
P50993,Cell.membrane,
Q9SKN3,Cell.membrane,
P55808,Cell.membrane,
P32334,Cell.membrane,test
Q8H8C7,Cell.membrane,
Q0WRY5,Cell.membrane,test
P41593,Cell.membrane,test
Q03064,Cell.membrane,
O00934,Cell.membrane,
Q810Y4,Cell.membrane,
Q9XUB9,Cell.membrane,
Q8VC69,Cell.membrane,test
P10870,Cell.membrane,
P51170,Cell.membrane,
O94804,Cell.membrane,test
Q6L8G1,Cell.membrane,
Q9FFW5,Cell.membrane,
Q8CG09,Cell.membrane,
Q9LYG9,Cell.membrane,test
Q9M021,Cell.membrane,test
O81016,Cell.membrane,
O54728,Cell.membrane,
Q24418,Cell.membrane,
Q8SRA2,Cell.membrane,test
P55926,Cell.membrane,
Q12359,Cell.membrane,test
P19440,Cell.membrane,
P35367,Cell.membrane,
Q6UXZ4,Cell.membrane,test
C0LGK4,Cell.membrane,
Q08245,Cell.membrane,
Q75KU4,Cell.membrane,
Q8VDZ4,Cell.membrane,
Q94JG1,Cell.membrane,
Q8RXN0,Cell.membrane,test
Q8CJ11,Cell.membrane,
Q90X64,Cell.membrane,test
Q8CJ12,Cell.membrane,
Q4W815,Cell.membrane,
Q5DTY9,Cell.membrane,
P30940,Cell.membrane,
Q924N4,Cell.membrane,test
P26718,Cell.membrane,
Q14003,Cell.membrane,
Q9EQR5,Cell.membrane,test
Q8NDX1,Cell.membrane,test
P26432,Cell.membrane,
Q75N73,Cell.membrane,
Q9ASQ7,Cell.membrane,test
P21926,Cell.membrane,test
P32418,Cell.membrane,test
Q9HCJ2,Cell.membrane,
P36033,Cell.membrane,
D3ZB51,Cell.membrane,
Q61735,Cell.membrane,
Q8CFE6,Cell.membrane,
Q9M390,Cell.membrane,
O76554,Cell.membrane,
Q92887,Cell.membrane,
Q94CE4,Cell.membrane,
Q9MZS1,Cell.membrane,
Q76LB1,Cell.membrane,
P14384,Cell.membrane,
Q96JW4,Cell.membrane,test
P17659,Cell.membrane,
P17658,Cell.membrane,
Q9Y6X5,Cell.membrane,
Q02284,Cell.membrane,
Q86YR6,Cell.membrane,
Q60484,Cell.membrane,
O00421,Cell.membrane,
Q96PJ5,Cell.membrane,
Q1EHB4,Cell.membrane,test
F1MH24,Cell.membrane,
Q7TSN2,Cell.membrane,
Q2TAD5,Cell.membrane,
Q9FKS8,Cell.membrane,
Q91ZD4,Cell.membrane,test
P63094,Cell.membrane,
Q8IZJ1,Cell.membrane,test
Q9WVL3,Cell.membrane,test
Q30201,Cell.membrane,
P35590,Cell.membrane,test
Q3U497,Cell.membrane,
Q9LFX9,Cell.membrane,
P51143,Cell.membrane,
Q9LVN2,Cell.membrane,
Q9ASS4,Cell.membrane,
P93788,Cell.membrane,
Q63089,Cell.membrane,test
Q9MA83,Cell.membrane,
P32246,Cell.membrane,
P32249,Cell.membrane,
Q801G2,Cell.membrane,
Q0WYX8,Cell.membrane,
Q9SMM5,Cell.membrane,
Q1JV40,Cell.membrane,
O35316,Cell.membrane,
Q8QGH3,Cell.membrane,
P0C5E2-2,Cell.membrane,
Q9P1Z3,Cell.membrane,
A6NFQ2-2,Cell.membrane,
A1Z8N1,Cell.membrane,
Q8GWW6,Cell.membrane,
B1B213,Cell.membrane,
G5EDW2,Cell.membrane,
Q7TSP5,Cell.membrane,
P48044,Cell.membrane,test
Q9LJF3,Cell.membrane,
Q9XF59,Cell.membrane,
O76090,Cell.membrane,test
Q9C8K2,Cell.membrane,
P53885,Cell.membrane,
Q9SWI1,Cell.membrane,
A6NNB3,Cell.membrane,test
Q0GA42,Cell.membrane,
P48048,Cell.membrane,test
P17427,Cell.membrane,test
Q91821,Cell.membrane,test
Q9EPU5,Cell.membrane,
Q9R0W5,Cell.membrane,
Q39033,Cell.membrane,
E9PZ19,Cell.membrane,
P63137,Cell.membrane,
O88575,Cell.membrane,
Q6L568,Cell.membrane,
P23685,Cell.membrane,test
Q9CAX3,Cell.membrane,
Q9FG74,Cell.membrane,
Q6PIZ9,Cell.membrane,test
Q8N6Q3,Cell.membrane,
Q9NRM0-2,Cell.membrane,
P50077,Cell.membrane,
Q1XA76,Cell.membrane,
O48682,Cell.membrane,
Q99788,Cell.membrane,test
Q7Z6M3,Cell.membrane,
P25621,Cell.membrane,
Q9C5Y0,Cell.membrane,
P93025,Cell.membrane,test
Q9JHZ9,Cell.membrane,
Q8TEZ7,Cell.membrane,
Q9SFB0,Cell.membrane,
P35462,Cell.membrane,
Q6PE84,Cell.membrane,
Q9UU83,Cell.membrane,test
Q70VB1,Cell.membrane,test
Q8CFZ5,Cell.membrane,test
Q6PI78,Cell.membrane,
O75509,Cell.membrane,
Q6NVG5,Cell.membrane,test
Q3E8W4,Cell.membrane,
Q8LPL2,Cell.membrane,
P20353,Cell.membrane,
Q8R366,Cell.membrane,test
Q8VIM4,Cell.membrane,
Q9S7Z8,Cell.membrane,
Q01896,Cell.membrane,
C0LGP9,Cell.membrane,
Q7M750,Cell.membrane,
O60741,Cell.membrane,
Q8MPP3,Cell.membrane,
P47871,Cell.membrane,
P13587,Cell.membrane,
Q9D856,Cell.membrane,
Q9FII5,Cell.membrane,
Q12252,Cell.membrane,
O13928,Cell.membrane,
P23977,Cell.membrane,
Q9NW15,Cell.membrane,
Q8NAC3,Cell.membrane,
Q9TU31,Cell.membrane,test
P11911,Cell.membrane,test
Q59L72,Cell.membrane,test
Q8BNX7,Cell.membrane,
P22732,Cell.membrane,
P19156,Cell.membrane,
Q63803,Cell.membrane,
P48181,Cell.membrane,
P48180,Cell.membrane,
Q99PI8,Cell.membrane,
P13164,Cell.membrane,
Q9VVT2,Cell.membrane,
G3V8V5,Cell.membrane,
P53226,Cell.membrane,
Q9SQU2,Cell.membrane,
C0LGS2,Cell.membrane,
Q9UBL9,Cell.membrane,
O23413,Cell.membrane,
Q9GZY6,Cell.membrane,
O64825,Cell.membrane,
Q9Y3P8,Cell.membrane,test
Q12466,Cell.membrane,
Q5SSG8,Cell.membrane,
P59889,Cell.membrane,
Q8JZW5,Cell.membrane,
Q99P47,Cell.membrane,
Q91Y77,Cell.membrane,
P51681,Cell.membrane,
Q8IWV1,Cell.membrane,
Q924B5,Cell.membrane,
Q3UH93,Cell.membrane,test
P25122,Cell.membrane,
Q9LU77,Cell.membrane,
Q9ERB5,Cell.membrane,
Q96IZ2,Cell.membrane,
O08604,Cell.membrane,
P30989,Cell.membrane,test
B9DFG5,Cell.membrane,
Q03193,Cell.membrane,
P31649,Cell.membrane,
P08909,Cell.membrane,
P08908,Cell.membrane,
Q75WU1,Cell.membrane,
P31646,Cell.membrane,
Q07436,Cell.membrane,
O22920,Cell.membrane,
Q925P2,Cell.membrane,
P54657,Cell.membrane,
P31424,Cell.membrane,test
Q9NP59,Cell.membrane,test
Q9SXB8,Cell.membrane,
Q07651,Cell.membrane,
Q8VBV9,Cell.membrane,test
Q9VWS4,Cell.membrane,
D7SFH9,Cell.membrane,
P34082-2,Cell.membrane,
G3UVW3,Cell.membrane,
Q9LSI9,Cell.membrane,
Q64264,Cell.membrane,
P19492,Cell.membrane,test
Q9LQU4,Cell.membrane,test
O43561,Cell.membrane,
Q94EE4,Cell.membrane,
O08858,Cell.membrane,test
Q9LX66,Cell.membrane,
P09483,Cell.membrane,
P32791,Cell.membrane,
Q60943,Cell.membrane,
Q8VYM2,Cell.membrane,
Q13319,Cell.membrane,
Q9UL51,Cell.membrane,test
Q13255,Cell.membrane,test
Q9FKW4,Cell.membrane,
Q45R42,Cell.membrane,
Q5GH77,Cell.membrane,
Q948T9,Cell.membrane,test
Q18297,Cell.membrane,
Q9ZUJ5,Cell.membrane,
P50638,Cell.membrane,
Q9M9V7,Cell.membrane,
P38250,Cell.membrane,
Q8R183,Cell.membrane,
P90920,Cell.membrane,
Q9LKW9,Cell.membrane,
C4QM85,Cell.membrane,
Q14680,Cell.membrane,test
Q91WW2,Cell.membrane,test
Q5A4M8,Cell.membrane,
O82587,Cell.membrane,
P0C5X8,Cell.membrane,
Q9NSD5,Cell.membrane,
O88420,Cell.membrane,
P02730,Cell.membrane,test
P33766,Cell.membrane,
Q401N2,Cell.membrane,
P28334,Cell.membrane,
P28335,Cell.membrane,
Q61606,Cell.membrane,test
P23291,Cell.membrane,
